environment,training_setup,policy_id,fraction_action_deviance,fraction_action_deviance_in_most_important_states
minatar-asterix,DWDI,1,0.173476,0.00036
minatar-asterix,SWDI,1,0.18228,0.00312
minatar-asterix,DWSI,1,0.241648,0.059559997
minatar-asterix,DWDI,2,0.183488,0.0011999999
minatar-asterix,SWDI,2,0.2126,0.0022399998
minatar-asterix,DWSI,2,0.200832,0.00124
minatar-asterix,DWDI,3,0.23038,0.06112
minatar-asterix,SWDI,3,0.20238,0.00196
minatar-asterix,DWSI,3,0.1815,0.0008
minatar-asterix,DWDI,4,0.232608,0.00128
minatar-asterix,SWDI,4,0.23552,0.05376
minatar-asterix,DWSI,4,0.251028,0.06048
minatar-asterix,DWDI,5,0.182184,0.06116
minatar-asterix,SWDI,5,0.246736,0.00148
minatar-asterix,DWSI,5,0.174648,0.00087999995
minatar-asterix,DWDI,6,0.200296,0.00096
minatar-asterix,SWDI,6,0.233588,0.0016399999
minatar-asterix,DWSI,6,0.16632,0.00136
minatar-asterix,DWDI,7,0.156268,0.00075999997
minatar-asterix,SWDI,7,0.25984,0.0042399997
minatar-asterix,DWSI,7,0.199476,0.0004
minatar-asterix,DWDI,8,0.211456,0.06116
minatar-asterix,SWDI,8,0.232608,0.00284
minatar-asterix,DWSI,8,0.20832,0.00096
minatar-asterix,DWDI,9,0.17562,0.00091999996
minatar-asterix,SWDI,9,0.233876,0.10504
minatar-asterix,DWSI,9,0.178436,0.0008
minatar-asterix,DWDI,10,0.223756,0.00104
minatar-asterix,SWDI,10,0.201568,0.00144
minatar-asterix,DWSI,10,0.182244,0.0011999999
minatar-asterix,DWDI,11,0.168452,0.0004
minatar-asterix,SWDI,11,0.196704,0.0018399999
minatar-asterix,DWSI,11,0.182012,0.00116
minatar-asterix,DWDI,12,0.183876,0.00104
minatar-asterix,SWDI,12,0.210308,0.0017599999
minatar-asterix,DWSI,12,0.19172,0.00188
minatar-asterix,DWDI,13,0.19284,0.00064
minatar-asterix,SWDI,13,0.21506,0.0026399998
minatar-asterix,DWSI,13,0.193292,0.0017599999
minatar-asterix,DWDI,14,0.202832,0.0004
minatar-asterix,SWDI,14,0.2121,0.04212
minatar-asterix,DWSI,14,0.219308,0.0014
minatar-asterix,DWDI,15,0.23248,0.00087999995
minatar-asterix,SWDI,15,0.234316,0.0029199999
minatar-asterix,DWSI,15,0.193644,0.00091999996
minatar-asterix,DWDI,16,0.189148,0.07372
minatar-asterix,SWDI,16,0.229372,0.00296
minatar-asterix,DWSI,16,0.23638,0.0008
minatar-asterix,DWDI,17,0.202152,0.06084
minatar-asterix,SWDI,17,0.20182,0.00196
minatar-asterix,DWSI,17,0.176408,0.0015199999
minatar-asterix,DWDI,18,0.200772,0.0004
minatar-asterix,SWDI,18,0.184004,0.045679998
minatar-asterix,DWSI,18,0.179712,0.0008
minatar-asterix,DWDI,19,0.188156,0.061079998
minatar-asterix,SWDI,19,0.195148,0.0026
minatar-asterix,DWSI,19,0.213912,0.0014
minatar-asterix,DWDI,20,0.161972,8e-05
minatar-asterix,SWDI,20,0.244252,0.00043999997
minatar-asterix,DWSI,20,0.229228,0.0002
minatar-breakout,DWDI,1,0.305368,0.13703999
minatar-breakout,SWDI,1,0.339388,0.24056
minatar-breakout,DWSI,1,0.22238,0.0058399998
minatar-breakout,DWDI,2,0.295952,0.14924
minatar-breakout,SWDI,2,0.298588,0.12956
minatar-breakout,DWSI,2,0.356152,0.16411999
minatar-breakout,DWDI,3,0.315848,0.18823999
minatar-breakout,SWDI,3,0.212416,0.00108
minatar-breakout,DWSI,3,0.194596,0.01512
minatar-breakout,DWDI,4,0.235788,0.0382
minatar-breakout,SWDI,4,0.301472,0.14212
minatar-breakout,DWSI,4,0.195912,0.01668
minatar-breakout,DWDI,5,0.232544,0.0358
minatar-breakout,SWDI,5,0.201172,0.00472
minatar-breakout,DWSI,5,0.207516,0.00512
minatar-breakout,DWDI,6,0.228256,0.02304
minatar-breakout,SWDI,6,0.252028,0.095759995
minatar-breakout,DWSI,6,0.194768,0.01368
minatar-breakout,DWDI,7,0.337512,0.21159999
minatar-breakout,SWDI,7,0.33192,0.14503999
minatar-breakout,DWSI,7,0.18934,0.0044
minatar-breakout,DWDI,8,0.19358,0.02252
minatar-breakout,SWDI,8,0.213812,0.00628
minatar-breakout,DWSI,8,0.222884,0.03664
minatar-breakout,DWDI,9,0.274676,0.12616
minatar-breakout,SWDI,9,0.297668,0.15023999
minatar-breakout,DWSI,9,0.174352,0.008119999
minatar-breakout,DWDI,10,0.29862,0.13584
minatar-breakout,SWDI,10,0.24116799,0.04688
minatar-breakout,DWSI,10,0.202916,0.02048
minatar-breakout,DWDI,11,0.196992,0.0368
minatar-breakout,SWDI,11,0.18812,0.0032
minatar-breakout,DWSI,11,0.401188,0.2438
minatar-breakout,DWDI,12,0.230556,0.05432
minatar-breakout,SWDI,12,0.209676,0.0242
minatar-breakout,DWSI,12,0.189472,0.00624
minatar-breakout,DWDI,13,0.260676,0.04468
minatar-breakout,SWDI,13,0.23856,0.029399998
minatar-breakout,DWSI,13,0.204828,0.02904
minatar-breakout,DWDI,14,0.210764,0.03768
minatar-breakout,SWDI,14,0.231008,0.007999999
minatar-breakout,DWSI,14,0.234684,0.0021199998
minatar-breakout,DWDI,15,0.29772,0.16815999
minatar-breakout,SWDI,15,0.233124,0.055839997
minatar-breakout,DWSI,15,0.22938,0.02392
minatar-breakout,DWDI,16,0.210896,0.01804
minatar-breakout,SWDI,16,0.343804,0.18372
minatar-breakout,DWSI,16,0.330816,0.07948
minatar-breakout,DWDI,17,0.281156,0.14924
minatar-breakout,SWDI,17,0.293788,0.232
minatar-breakout,DWSI,17,0.223176,0.01604
minatar-breakout,DWDI,18,0.2343,0.02532
minatar-breakout,SWDI,18,0.216284,0.04256
minatar-breakout,DWSI,18,0.201312,0.01668
minatar-breakout,DWDI,19,0.19718,0.02092
minatar-breakout,SWDI,19,0.1984,0.04216
minatar-breakout,DWSI,19,0.197652,0.0186
minatar-breakout,DWDI,20,0.298836,0.1328
minatar-breakout,SWDI,20,0.234924,0.0016399999
minatar-breakout,DWSI,20,0.190928,0.011
minatar-freeway,DWDI,1,0.032188,0.0
minatar-freeway,SWDI,1,0.039148,0.0
minatar-freeway,DWSI,1,0.050072,0.0
minatar-freeway,DWDI,2,0.032664,0.00172
minatar-freeway,SWDI,2,0.030768,0.0
minatar-freeway,DWSI,2,0.034284,0.0
minatar-freeway,DWDI,3,0.031136,0.0
minatar-freeway,SWDI,3,0.038072,0.00012
minatar-freeway,DWSI,3,0.03454,0.0
minatar-freeway,DWDI,4,0.03392,4e-05
minatar-freeway,SWDI,4,0.038464,0.0
minatar-freeway,DWSI,4,0.036512,0.0
minatar-freeway,DWDI,5,0.035072,0.0
minatar-freeway,SWDI,5,0.031496,0.0
minatar-freeway,DWSI,5,0.033432,0.0
minatar-freeway,DWDI,6,0.0348,0.0
minatar-freeway,SWDI,6,0.032092,0.0
minatar-freeway,DWSI,6,0.03596,0.0
minatar-freeway,DWDI,7,0.0294,0.0
minatar-freeway,SWDI,7,0.042496,0.0
minatar-freeway,DWSI,7,0.033344,4e-05
minatar-freeway,DWDI,8,0.037492,0.0
minatar-freeway,SWDI,8,0.034724,0.0
minatar-freeway,DWSI,8,0.032928,0.0
minatar-freeway,DWDI,9,0.036596,0.0
minatar-freeway,SWDI,9,0.03732,0.0
minatar-freeway,DWSI,9,0.029608,4e-05
minatar-freeway,DWDI,10,0.038996,0.0
minatar-freeway,SWDI,10,0.029968,0.0
minatar-freeway,DWSI,10,0.02746,0.0
minatar-freeway,DWDI,11,0.034184,0.0
minatar-freeway,SWDI,11,0.041228,0.0
minatar-freeway,DWSI,11,0.042592,0.0
minatar-freeway,DWDI,12,0.029196,0.0
minatar-freeway,SWDI,12,0.037996,0.0
minatar-freeway,DWSI,12,0.033252,0.0
minatar-freeway,DWDI,13,0.037256,0.0
minatar-freeway,SWDI,13,0.034292,0.0
minatar-freeway,DWSI,13,0.033764,0.0
minatar-freeway,DWDI,14,0.032148,0.0
minatar-freeway,SWDI,14,0.032572,0.0
minatar-freeway,DWSI,14,0.033999998,0.0
minatar-freeway,DWDI,15,0.027204,0.0
minatar-freeway,SWDI,15,0.038696,0.0
minatar-freeway,DWSI,15,0.034584,4e-05
minatar-freeway,DWDI,16,0.031656,0.0
minatar-freeway,SWDI,16,0.033468,0.0
minatar-freeway,DWSI,16,0.033464,0.00016
minatar-freeway,DWDI,17,0.040092,0.0
minatar-freeway,SWDI,17,0.038168,0.0
minatar-freeway,DWSI,17,0.030424,4e-05
minatar-freeway,DWDI,18,0.029672,0.0
minatar-freeway,SWDI,18,0.031427998,0.0
minatar-freeway,DWSI,18,0.030048,8e-05
minatar-freeway,DWDI,19,0.033208,0.0
minatar-freeway,SWDI,19,0.046416,0.0
minatar-freeway,DWSI,19,0.03436,0.0
minatar-freeway,DWDI,20,0.032084,0.0
minatar-freeway,SWDI,20,0.049272,0.0
minatar-freeway,DWSI,20,0.035996,0.0
minatar-seaquest,DWDI,1,0.212684,0.017719999
minatar-seaquest,SWDI,1,0.192152,0.04604
minatar-seaquest,DWSI,1,0.217664,0.03056
minatar-seaquest,DWDI,2,0.166124,0.031719998
minatar-seaquest,SWDI,2,0.19816,0.0284
minatar-seaquest,DWSI,2,0.18616,0.0256
minatar-seaquest,DWDI,3,0.156408,0.03356
minatar-seaquest,SWDI,3,0.195212,0.032759998
minatar-seaquest,DWSI,3,0.2436,0.030599998
minatar-seaquest,DWDI,4,0.195384,0.02568
minatar-seaquest,SWDI,4,0.176756,0.053799998
minatar-seaquest,DWSI,4,0.176216,0.00684
minatar-seaquest,DWDI,5,0.21034,0.02644
minatar-seaquest,SWDI,5,0.180144,0.06272
minatar-seaquest,DWSI,5,0.213608,0.0312
minatar-seaquest,DWDI,6,0.207268,0.02856
minatar-seaquest,SWDI,6,0.179868,0.011159999
minatar-seaquest,DWSI,6,0.191796,0.046359997
minatar-seaquest,DWDI,7,0.17162,0.0234
minatar-seaquest,SWDI,7,0.171416,0.02536
minatar-seaquest,DWSI,7,0.163856,0.019399999
minatar-seaquest,DWDI,8,0.195216,0.02368
minatar-seaquest,SWDI,8,0.2292,0.06272
minatar-seaquest,DWSI,8,0.208364,0.010439999
minatar-seaquest,DWDI,9,0.168828,0.01688
minatar-seaquest,SWDI,9,0.215052,0.049399998
minatar-seaquest,DWSI,9,0.22024,0.036879998
minatar-seaquest,DWDI,10,0.168936,0.04
minatar-seaquest,SWDI,10,0.191744,0.038119998
minatar-seaquest,DWSI,10,0.172408,0.00548
minatar-seaquest,DWDI,11,0.179612,0.021119999
minatar-seaquest,SWDI,11,0.20832,0.0514
minatar-seaquest,DWSI,11,0.195064,0.016239999
minatar-seaquest,DWDI,12,0.246528,0.01444
minatar-seaquest,SWDI,12,0.1991,0.025559999
minatar-seaquest,DWSI,12,0.203808,0.0067999996
minatar-seaquest,DWDI,13,0.154228,0.01156
minatar-seaquest,SWDI,13,0.154252,0.02304
minatar-seaquest,DWSI,13,0.168804,0.03132
minatar-seaquest,DWDI,14,0.211344,0.00756
minatar-seaquest,SWDI,14,0.17756,0.08288
minatar-seaquest,DWSI,14,0.175668,0.00936
minatar-seaquest,DWDI,15,0.217136,0.047319997
minatar-seaquest,SWDI,15,0.167408,0.01976
minatar-seaquest,DWSI,15,0.196772,0.03456
minatar-seaquest,DWDI,16,0.21134,0.015439999
minatar-seaquest,SWDI,16,0.237476,0.11304
minatar-seaquest,DWSI,16,0.248032,0.052279998
minatar-seaquest,DWDI,17,0.198772,0.02936
minatar-seaquest,SWDI,17,0.191904,0.02048
minatar-seaquest,DWSI,17,0.241952,0.01764
minatar-seaquest,DWDI,18,0.180164,0.02328
minatar-seaquest,SWDI,18,0.221,0.089559995
minatar-seaquest,DWSI,18,0.244948,0.00804
minatar-seaquest,DWDI,19,0.153296,0.02396
minatar-seaquest,SWDI,19,0.246456,0.0462
minatar-seaquest,DWSI,19,0.182668,0.01908
minatar-seaquest,DWDI,20,0.214556,0.0017599999
minatar-seaquest,SWDI,20,0.173948,0.00244
minatar-seaquest,DWSI,20,0.201564,0.00144
minatar-space_invaders,DWDI,1,0.220576,0.0894
minatar-space_invaders,SWDI,1,0.186832,0.10348
minatar-space_invaders,DWSI,1,0.19032,0.012879999
minatar-space_invaders,DWDI,2,0.18486,0.023
minatar-space_invaders,SWDI,2,0.17626,0.13183999
minatar-space_invaders,DWSI,2,0.16886,0.012639999
minatar-space_invaders,DWDI,3,0.20638,0.06272
minatar-space_invaders,SWDI,3,0.195016,0.09868
minatar-space_invaders,DWSI,3,0.212364,0.00764
minatar-space_invaders,DWDI,4,0.191872,0.07312
minatar-space_invaders,SWDI,4,0.2077,0.10764
minatar-space_invaders,DWSI,4,0.191524,0.01144
minatar-space_invaders,DWDI,5,0.182408,0.05616
minatar-space_invaders,SWDI,5,0.16754,0.124479994
minatar-space_invaders,DWSI,5,0.162252,0.0077199996
minatar-space_invaders,DWDI,6,0.166836,0.031719998
minatar-space_invaders,SWDI,6,0.149032,0.02244
minatar-space_invaders,DWSI,6,0.170916,0.0119199995
minatar-space_invaders,DWDI,7,0.166348,0.059559997
minatar-space_invaders,SWDI,7,0.175676,0.12736
minatar-space_invaders,DWSI,7,0.188524,0.00924
minatar-space_invaders,DWDI,8,0.1508,0.01876
minatar-space_invaders,SWDI,8,0.220608,0.10296
minatar-space_invaders,DWSI,8,0.16898,0.0116799995
minatar-space_invaders,DWDI,9,0.223628,0.06644
minatar-space_invaders,SWDI,9,0.187724,0.11263999
minatar-space_invaders,DWSI,9,0.185764,0.10204
minatar-space_invaders,DWDI,10,0.191208,0.08864
minatar-space_invaders,SWDI,10,0.213336,0.12976
minatar-space_invaders,DWSI,10,0.176728,0.00728
minatar-space_invaders,DWDI,11,0.201484,0.059439998
minatar-space_invaders,SWDI,11,0.18714,0.03196
minatar-space_invaders,DWSI,11,0.1724,0.01668
minatar-space_invaders,DWDI,12,0.204956,0.0442
minatar-space_invaders,SWDI,12,0.16836,0.07412
minatar-space_invaders,DWSI,12,0.182004,0.0074799997
minatar-space_invaders,DWDI,13,0.200768,0.04848
minatar-space_invaders,SWDI,13,0.228828,0.02936
minatar-space_invaders,DWSI,13,0.172112,0.00488
minatar-space_invaders,DWDI,14,0.210996,0.09724
minatar-space_invaders,SWDI,14,0.235444,0.134
minatar-space_invaders,DWSI,14,0.23552799,0.01232
minatar-space_invaders,DWDI,15,0.1898,0.05396
minatar-space_invaders,SWDI,15,0.173704,0.01864
minatar-space_invaders,DWSI,15,0.171584,0.0088
minatar-space_invaders,DWDI,16,0.181068,0.06636
minatar-space_invaders,SWDI,16,0.192128,0.03944
minatar-space_invaders,DWSI,16,0.171424,0.0088
minatar-space_invaders,DWDI,17,0.181232,0.060999997
minatar-space_invaders,SWDI,17,0.204872,0.1074
minatar-space_invaders,DWSI,17,0.201372,0.013359999
minatar-space_invaders,DWDI,18,0.223824,0.09304
minatar-space_invaders,SWDI,18,0.18622,0.20636
minatar-space_invaders,DWSI,18,0.236928,0.00856
minatar-space_invaders,DWDI,19,0.197552,0.074599996
minatar-space_invaders,SWDI,19,0.231816,0.20099999
minatar-space_invaders,DWSI,19,0.244156,0.01076
minatar-space_invaders,DWDI,20,0.169624,0.042039998
minatar-space_invaders,SWDI,20,0.171312,0.01644
minatar-space_invaders,DWSI,20,0.22372,0.0022399998
